0,1,2,3
0.0,0.0,0.0,0.0
2.9132001699849752e-08,3.774972867631732e-08,3.345850885239088e-08,2.953357558510561e-08
1.024291833573443e-07,1.2228890966525796e-07,1.1784355535837676e-07,1.0712625453379587e-07
2.0497554942267016e-07,2.3457394604520232e-07,2.402760514996771e-07,2.2068648775075417e-07
3.278639439940889e-07,3.700480419865926e-07,3.9430599940715183e-07,3.6227439181857335e-07
4.6542774612134963e-07,5.258801820673398e-07,5.759359851253976e-07,5.26785868260049e-07
6.147217277430173e-07,7.009388696133101e-07,7.836098347979714e-07,7.111549393812311e-07
7.74746922616032e-07,8.974749334811349e-07,1.0177966487390222e-06,9.134460015047807e-07
9.444813144909858e-07,1.1169424851686927e-06,1.2804295010937494e-06,1.1320756811983301e-06
1.1232641554670408e-06,1.3502802858056384e-06,1.5744342363177566e-06,1.3657922863785643e-06
1.3113827890265384e-06,1.5904067822702928e-06,1.901159635053773e-06,1.6136164049385116e-06
1.5091022760316264e-06,1.8375968693362665e-06,2.2595156679017236e-06,1.874749955277366e-06
1.7148610140793608e-06,2.0978595784981735e-06,2.647977680680924e-06,2.1484547687578015e-06
1.929593508975813e-06,2.3761217562423553e-06,3.0665332815260626e-06,2.43385852627398e-06
2.1541675323533127e-06,2.6755014914670028e-06,3.518113999234629e-06,2.730021151364781e-06
2.38664551943657e-06,2.9966895453981124e-06,4.006838025816251e-06,3.036084990526433e-06
2.6260131562594324e-06,3.340390094308532e-06,4.532425009529106e-06,3.3508986234664917e-06
2.877300630643731e-06,3.705938752318616e-06,5.087002136860974e-06,3.6727192309626844e-06
3.1437182315130485e-06,4.093913048563991e-06,5.659395810653223e-06,3.999521140940487e-06
3.4265995054738596e-06,4.502996034716489e-06,6.245441454666434e-06,4.32947263107053e-06
3.7251513731462182e-06,4.929162059852388e-06,6.8479030232992955e-06,4.660796548705548e-06
4.037075541418744e-06,5.371980932977749e-06,7.465056114597246e-06,4.992031790607143e-06
4.359501417638967e-06,5.834622697875602e-06,8.093254109553527e-06,5.322424840414897e-06
4.6883951654308476e-06,6.3192051129590254e-06,8.727171007194556e-06,5.65149457543157e-06
5.014067028241698e-06,6.826807748439023e-06,9.363745448354166e-06,5.979224624752533e-06
5.328395218384685e-06,7.359743449342204e-06,1.0006940101447981e-05,6.306120667431969e-06
5.632105057884473e-06,7.920325515442528e-06,1.0655368896550499e-05,6.633178600168321e-06
5.935965418757405e-06,8.509976396453567e-06,1.1298335266474169e-05,6.961324743315345e-06
6.247550118132494e-06,9.12444284040248e-06,1.1924877071578521e-05,7.2912876021291595e-06
6.5694007389538456e-06,9.752184269018471e-06,1.2533131666714326e-05,7.623287729074946e-06
6.902701443323167e-06,1.0381375432189088e-05,1.3125465557095595e-05,7.956763511174358e-06
7.247343091876246e-06,1.1003350664395839e-05,1.3701248462894e-05,8.290735422633588e-06
7.602562163810944e-06,1.1624835678958334e-05,1.4259354429668747e-05,8.624758265796117e-06
7.967991223267745e-06,1.2262294148968067e-05,1.4796379218751099e-05,8.959334991232026e-06
8.3440927483025e-06,1.2930800039612222e-05,1.5312713003368117e-05,9.29509951674845e-06
8.731592970434576e-06,1.3632186892209575e-05,1.579875242896378e-05,9.631329703552183e-06
9.131848855759017e-06,1.4356048268382438e-05,1.6269617844955064e-05,9.967528058041353e-06
9.54884490056429e-06,1.5090816305018961e-05,1.6725598470657133e-05,1.0303403541911393e-05
9.987963494495489e-06,1.5827206880203448e-05,1.7164251403301023e-05,1.0639478205121122e-05
1.0453326467541046e-05,1.6562000382691622e-05,1.759307451720815e-05,1.0977089004882146e-05
1.0943078450509347e-05,1.7290156392846256e-05,1.8018703485722654e-05,1.1317771168251056e-05
1.1451366844994482e-05,1.7991422282648273e-05,1.844517100835219e-05,1.166218953585485e-05
1.1974284461757634e-05,1.865969898062758e-05,1.8878670744015835e-05,1.2010416867269669e-05
1.2508968211477622e-05,1.9302671717014164e-05,1.9312466974952258e-05,1.2362007510091644e-05
1.3043868420936633e-05,1.992401303141378e-05,1.9749943021452054e-05,1.271618384635076e-05
1.3568539543484803e-05,2.0528636014205404e-05,2.0196353943902068e-05,1.3072370165900793e-05
1.4082477719057351e-05,2.1101681340951473e-05,2.0656161723309197e-05,1.3430177205009386e-05
1.4584775271941908e-05,2.1642470528604463e-05,2.1131845642230473e-05,1.3789473086944781e-05
1.5073776012286544e-05,2.21626614802517e-05,2.1618840037263e-05,1.415036058460828e-05
1.5546662325505167e-05,2.267267154820729e-05,2.2104941308498383e-05,1.4513095266011078e-05
1.5999205061234534e-05,2.3175662136054598e-05,2.2580365111934952e-05,1.4878234651405364e-05
1.6430747564299963e-05,2.3682714527240023e-05,2.304703593836166e-05,1.5245896065607667e-05
