0,1,2,3
0.0,0.0,0.0,0.0
5.012554638028632e-08,7.381273547935052e-08,7.303470539454793e-08,6.808391361801114e-08
1.846603083777154e-07,2.6015649723376555e-07,2.8486337555477803e-07,2.569084074366401e-07
3.8427617710112827e-07,5.278476464809501e-07,6.257789664232405e-07,5.463163574859209e-07
6.338310640785494e-07,8.642793432045437e-07,1.0844455573533196e-06,9.175487321044784e-07
9.202485102832725e-07,1.264274942514021e-06,1.6505836128999363e-06,1.3535977814171929e-06
1.2336145118752029e-06,1.7211652902915375e-06,2.3191084892459912e-06,1.8421657159706228e-06
1.5688963230786612e-06,2.2255155727179954e-06,3.0889832487446256e-06,2.3754032554279547e-06
1.924784100992838e-06,2.771742629192886e-06,3.958239631174365e-06,2.9473794711520895e-06
2.3032512217469048e-06,3.338066790092853e-06,4.923125743516721e-06,3.5525765724742087e-06
2.70692839876574e-06,3.9070937418728136e-06,5.980979040032253e-06,4.185742454865249e-06
3.1366887469630456e-06,4.481044470594497e-06,7.129309324227506e-06,4.843157967115985e-06
3.590471806091955e-06,5.077828973298892e-06,8.36303206597222e-06,5.523813797481125e-06
4.070255272381473e-06,5.712298388971249e-06,9.675730325398035e-06,6.227976882655639e-06
4.578671905619558e-06,6.388894689735025e-06,1.1057411938963924e-05,6.954777745704632e-06
5.107541710458463e-06,7.10885296939523e-06,1.2498072464950383e-05,7.700522473896854e-06
5.65040181754739e-06,7.875748451624531e-06,1.3993366337672342e-05,8.459109267278109e-06
6.20962237007916e-06,8.683935448061675e-06,1.5542316759820096e-05,9.223394954460673e-06
6.7852674874302465e-06,9.522315849608276e-06,1.7139096598839387e-05,9.986236364056822e-06
7.376955636573257e-06,1.0377233593317214e-05,1.8776943761622533e-05,1.0741904588940088e-05
7.985892807482742e-06,1.1246669600950554e-05,2.04501466214424e-05,1.148775754700182e-05
8.613790669187438e-06,1.2145596883783583e-05,2.2147911295178346e-05,1.2224697456986178e-05
9.261990271625109e-06,1.3081490578770172e-05,2.3861475710873492e-05,1.2955521015101112e-05
9.928861800290179e-06,1.4048728189663962e-05,2.5587421987438574e-05,1.368176526739262e-05
1.0603173905110452e-05,1.504577539890306e-05,2.732581560849212e-05,1.4401932276086882e-05
1.1271892617514823e-05,1.608215279702563e-05,2.907680936914403e-05,1.511317714175675e-05
1.1928933417948429e-05,1.7167467376566492e-05,3.082900366280228e-05,1.581387550686486e-05
1.2578506357385777e-05,1.8308206563233398e-05,3.2563195418333635e-05,1.6504294762853533e-05
1.3222394045442343e-05,1.9499706468195654e-05,3.427374758757651e-05,1.7186433979077265e-05
1.3860709259461146e-05,2.0719464373541996e-05,3.596701208152808e-05,1.786184475349728e-05
1.4496697076538112e-05,2.1944118998362683e-05,3.7645793781848624e-05,1.852977402450051e-05
1.5135114153963514e-05,2.315443089173641e-05,3.930214006686583e-05,1.918835005199071e-05
1.5781975889694877e-05,2.435593523841817e-05,4.091869413969107e-05,1.983650327019859e-05
1.6445002984255552e-05,2.5567887860233895e-05,4.247456672601402e-05,2.0474977645790204e-05
1.7129401385318488e-05,2.6800838895724155e-05,4.3964591895928606e-05,2.1106172425788827e-05
1.783582047210075e-05,2.8050251785316505e-05,4.538071880233474e-05,2.173146822315175e-05
1.8561802789918147e-05,2.9304841518751346e-05,4.673564399126917e-05,2.2351496227202006e-05
1.9308716218802147e-05,3.0550971132470295e-05,4.8034686187747866e-05,2.2965587049839087e-05
2.007966031669639e-05,3.178301267325878e-05,4.9277721700491384e-05,2.357258927077055e-05
2.0878556824754924e-05,3.30053226207383e-05,5.0462247600080445e-05,2.4171935365302488e-05
2.1710786313633434e-05,3.422152440180071e-05,5.159634747542441e-05,2.476422378094867e-05
2.257286359963473e-05,3.5416062019066885e-05,5.269184475764632e-05,2.5350253054057248e-05
2.3462222088710405e-05,3.658253626781516e-05,5.373999374569394e-05,2.5930990886990912e-05
2.4370070605073124e-05,3.7729740142822266e-05,5.470591349876486e-05,2.650762689881958e-05
2.5279530746047385e-05,3.8874826714163646e-05,5.557185068028048e-05,2.708169267862104e-05
2.617083373479545e-05,4.0046572394203395e-05,5.634014814859256e-05,2.765472345345188e-05
2.7037880499847233e-05,4.123562030144967e-05,5.702533235307783e-05,2.8226832000655122e-05
2.7874941224581562e-05,4.2418916564201936e-05,5.7647022913442925e-05,2.8795771868317388e-05
2.8673777705989778e-05,4.35908223153092e-05,5.822067760163918e-05,2.93581178993918e-05
2.9435152100631967e-05,4.4758166040992364e-05,5.8757184888236225e-05,2.991070505231619e-05
3.0160133974277414e-05,4.593315679812804e-05,5.925852747168392e-05,3.0452467399300076e-05
3.085323260165751e-05,4.7137516958173364e-05,5.9726695326389745e-05,3.098327943007462e-05
3.152355566271581e-05,4.837377855437808e-05,6.0166261391714215e-05,3.150331394863315e-05
3.217963603674434e-05,4.9637255870038643e-05,6.057476275600493e-05,3.201300205546431e-05
3.282944453530945e-05,5.092049832455814e-05,6.095874050515704e-05,3.251288944738917e-05
3.348360405652784e-05,5.221845276537351e-05,6.13223819527775e-05,3.300456592114642e-05
3.4148037229897454e-05,5.353363303584047e-05,6.167420360725373e-05,3.349119651829824e-05
3.482481406535953e-05,5.48689640709199e-05,6.203255179570988e-05,3.397623368073255e-05
3.5510318411979824e-05,5.6224496802315116e-05,6.241193477762863e-05,3.446274422458373e-05
3.6199777241563424e-05,5.76095626456663e-05,6.282604590523988e-05,3.495363489491865e-05
3.689489312819205e-05,5.9009740652982146e-05,6.328618474071845e-05,3.545153231243603e-05
3.759666287805885e-05,6.040235166437924e-05,6.380302511388436e-05,3.595742236939259e-05
3.830662171822041e-05,6.179119372973219e-05,6.438003765651956e-05,3.647029370767996e-05
3.90292116208002e-05,6.318033410934731e-05,6.500543531728908e-05,3.698802902363241e-05
3.976173320552334e-05,6.457229756051674e-05,6.56482734484598e-05,3.750940959434956e-05
4.049622657475993e-05,6.596995081054047e-05,6.626726099057123e-05,3.8035061152186245e-05
4.122496102354489e-05,6.737400690326467e-05,6.684588151983917e-05,3.856602052110247e-05
4.194781286059879e-05,6.8781002482865e-05,6.738075899193063e-05,3.9102931623347104e-05
4.266839096089825e-05,7.018421456450596e-05,6.78741344017908e-05,3.964600182371214e-05
4.339155202615075e-05,7.158076914492995e-05,6.832018698332831e-05,4.019552579848096e-05
4.412213456816971e-05,7.296144758583978e-05,6.870093784527853e-05,4.0752081986283883e-05
4.4863216317025945e-05,7.433021528413519e-05,6.901960296090692e-05,4.131652895011939e-05
4.56162124464754e-05,7.569766603410244e-05,6.929216033313423e-05,4.1889710701070726e-05
4.63767210021615e-05,7.707349868724123e-05,6.953670526854694e-05,4.247193646733649e-05
4.7142333642113954e-05,7.846373046049848e-05,6.977139128139243e-05,4.306246410124004e-05
4.791644823853858e-05,7.98615874373354e-05,7.001159247010946e-05,4.36603841080796e-05
4.870689372182824e-05,8.125649765133858e-05,7.026777166174725e-05,4.42638156528119e-05
4.952002200298011e-05,8.263831841759384e-05,7.053580338833854e-05,4.4870859710499644e-05
5.036107177147642e-05,8.400148362852633e-05,7.083108357619494e-05,4.5479984692065045e-05
5.123257506056689e-05,8.534853986930102e-05,7.115601329132915e-05,4.6089335228316486e-05
5.21320071129594e-05,8.668816735735163e-05,7.150279998313636e-05,4.669740155804902e-05
