0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.045014717097729e-08,9.612404738845726e-08,1.3985005864469713e-07,9.52789278585442e-08,6.699253418673834e-08,7.224651454862396e-08,1.1427854218482025e-07,7.951611280532234e-08
1.9150478181018116e-07,3.57173036036329e-07,4.863995854975656e-07,3.504345329474745e-07,2.489837811481266e-07,2.770003391106002e-07,4.151499695126404e-07,2.951038027276809e-07
4.105928326225694e-07,7.475006214008317e-07,9.678650485511753e-07,7.326053150791267e-07,5.2404891448532e-07,6.006395096846973e-07,8.573564969083236e-07,6.20553521457623e-07
6.981724141041923e-07,1.243114638782572e-06,1.5472419363504741e-06,1.2205073289806023e-06,8.765496772866754e-07,1.0328469670639606e-06,1.4112251847109292e-06,1.0372265251135104e-06
1.047043383550772e-06,1.8235949710287969e-06,2.2115104911790695e-06,1.7995844245888293e-06,1.2950049494975246e-06,1.5651863805032917e-06,2.056889798041084e-06,1.5313946732931072e-06
1.4519022215608857e-06,2.4729476990614785e-06,2.9568973332061432e-06,2.459730239934288e-06,1.77185256688972e-06,2.1899406874581473e-06,2.7815497105621034e-06,2.092836211886606e-06
1.9088802218902856e-06,3.17969761454151e-06,3.7867262108193245e-06,3.1943995963956695e-06,2.3026179860607954e-06,2.9003069812461035e-06,3.5768111956713255e-06,2.7136925382365007e-06
2.4151686375262216e-06,3.935369022656232e-06,4.711175279226154e-06,4.000040007667849e-06,2.8834731438109884e-06,3.690013954837923e-06,4.436884410097264e-06,3.387636525076232e-06
2.968727358165779e-06,4.7335911403934006e-06,5.743393558077514e-06,4.874769729212858e-06,3.513153387757484e-06,4.552878181129927e-06,5.35792560185655e-06,4.109532710572239e-06
3.568011607057997e-06,5.56979557586601e-06,6.884131380502367e-06,5.816791144752642e-06,4.190248091617832e-06,5.4833749345561955e-06,6.336884780466789e-06,4.8753036026027985e-06
4.211878149362747e-06,6.441066943807527e-06,8.120787242660299e-06,6.822887371527031e-06,4.909771178063238e-06,6.476167982327752e-06,7.36879565010895e-06,5.682317805622006e-06
4.899513896816643e-06,7.3448900366202e-06,9.454288374399766e-06,7.889533662819304e-06,5.6641870287421625e-06,7.527163688791916e-06,8.447151230939198e-06,6.528865014843177e-06
5.6302742450498044e-06,8.278780114778783e-06,1.0884546099987347e-05,9.016547664941754e-06,6.453157311625546e-06,8.634514415462036e-06,9.566585504217073e-06,7.413685125357006e-06
6.403959105227841e-06,9.24056803341955e-06,1.2414551747497171e-05,1.0205976650468074e-05,7.2764196374919266e-06,9.794423931452911e-06,1.0721635590016376e-05,8.33560716273496e-06
7.220747647807002e-06,1.0227953680441715e-05,1.404365866619628e-05,1.146005070040701e-05,8.121799510263372e-06,1.1002088285749778e-05,1.1908488886547275e-05,9.293278708355501e-06
8.080958650680259e-06,1.1238523256906774e-05,1.5772709957673214e-05,1.2780802535417024e-05,8.981199243862648e-06,1.225449796038447e-05,1.3128406862961128e-05,1.028465158015024e-05
8.985078238765709e-06,1.2270875231479295e-05,1.7608546841074713e-05,1.4168339475872926e-05,9.860686986939982e-06,1.3551283700508066e-05,1.438264825992519e-05,1.1307211934763473e-05
9.933738510881085e-06,1.3324753126653377e-05,1.9549072021618485e-05,1.562012948852498e-05,1.0769347682071384e-05,1.489480746386107e-05,1.567407525726594e-05,1.2358259482425638e-05
1.092770071409177e-05,1.4400809050130192e-05,2.1575777282123454e-05,1.713781603029929e-05,1.1715128493960947e-05,1.6288810002151877e-05,1.7004635083139874e-05,1.3435176697385032e-05
1.1967732461926062e-05,1.5500198060180992e-05,2.367121669522021e-05,1.872469329100568e-05,1.2704922482953407e-05,1.7735543224262074e-05,1.837523996073287e-05,1.4534969523083419e-05
1.3054571354587097e-05,1.6624269846943207e-05,2.582939123385586e-05,2.0375966414576396e-05,1.3743383533437736e-05,1.923216404975392e-05,1.9787072233157232e-05,1.565476122777909e-05
1.41888967846171e-05,1.777432771632448e-05,2.8041813493473455e-05,2.2086285753175616e-05,1.4831897715339437e-05,2.0766001398442313e-05,2.1241559807094745e-05,1.6792160749901086e-05
1.537132811790798e-05,1.8952714526676573e-05,3.0308439818327315e-05,2.3851142032071948e-05,1.5968154912116006e-05,2.232966471638065e-05,2.2735588572686538e-05,1.7946242223843e-05
1.6602436517132446e-05,2.0162757209618576e-05,3.265724808443338e-05,2.5666653527878225e-05,1.7143067452707328e-05,2.392319765931461e-05,2.426990795356687e-05,1.911850631586276e-05
1.7882894098875113e-05,2.1408495740615763e-05,3.5102471883874387e-05,2.753044645942282e-05,1.834737486205995e-05,2.5552722945576534e-05,2.584781395853497e-05,2.0313682398409583e-05
1.921364491863642e-05,2.2695014195051044e-05,3.768084934563376e-05,2.9437114790198393e-05,1.9580944353947416e-05,2.722847966651898e-05,2.747130929492414e-05,2.1539211957133375e-05
2.059585676761344e-05,2.4028773623285815e-05,4.041211650473997e-05,3.137852036161348e-05,2.0858746211160906e-05,2.8960961572011e-05,2.9151484341127798e-05,2.280409353261348e-05
2.2031323169358075e-05,2.5417428332730196e-05,4.3312735215295106e-05,3.335841029183939e-05,2.21995451283874e-05,3.076185748795979e-05,3.090824975515716e-05,2.4118986402754672e-05
2.35227525990922e-05,2.6869651264860295e-05,4.642999920179136e-05,3.5398410545894876e-05,2.3616110411239788e-05,3.26459739881102e-05,3.277358700870536e-05,2.5496427042526193e-05
