0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.866603285970996e-08,1.6968560601071658e-07,2.787232062928524e-07,1.4429348027533706e-07,1.0669647565464402e-07,9.306069870262945e-08,1.79549374479393e-07,1.3080531857667665e-07
2.6070429726132716e-07,6.37228538380441e-07,1.0153711400562315e-06,5.355367420634138e-07,3.9959056152838457e-07,3.5486385741023696e-07,6.717629617014609e-07,4.83339420043194e-07
5.580801030191651e-07,1.3461113894663868e-06,2.0941040475008776e-06,1.1231269354539108e-06,8.450297741546819e-07,7.640629178240488e-07,1.423921844434517e-06,1.0097292033606209e-06
9.458961471864313e-07,2.25802091335936e-06,3.4626375509105856e-06,1.8672645865080995e-06,1.4171492921377649e-06,1.3048139635429834e-06,2.397848220425658e-06,1.6752943565734313e-06
1.41192970204429e-06,3.3378034913766896e-06,5.11135158376419e-06,2.7401504212321015e-06,2.0968332137272228e-06,1.965374394785613e-06,3.5706618746189633e-06,2.455403091516928e-06
1.9463557237031637e-06,4.556165549729485e-06,7.045247912174091e-06,3.727423290911247e-06,2.871985088859219e-06,2.7361920729163103e-06,4.915431418339722e-06,3.3335784337396035e-06
2.541452658988419e-06,5.8898585848510265e-06,9.249905815522652e-06,4.821138645638712e-06,3.7343863823480206e-06,3.6087201351620024e-06,6.407484761439264e-06,4.299065494706156e-06
3.1915042200125754e-06,7.319938049477059e-06,1.1722262570401654e-05,6.019673492119182e-06,4.675280251831282e-06,4.574959348246921e-06,8.037705811148044e-06,5.343999418983003e-06
3.892655513482168e-06,8.830580554786138e-06,1.447768499929225e-05,7.325173100980464e-06,5.687155407940736e-06,5.627763130178209e-06,9.806008165469393e-06,6.461894827225478e-06
4.642621661332669e-06,1.040894949255744e-05,1.7483731426182203e-05,8.734951734368224e-06,6.763858891645214e-06,6.761340955563355e-06,1.1718974747054745e-05,7.646061021659989e-06
5.4406059462053236e-06,1.2045385119563434e-05,2.068879985017702e-05,1.0242896678391844e-05,7.898310286691412e-06,7.97072243585717e-06,1.3762015441898257e-05,8.890344361134339e-06
6.2873305068933405e-06,1.3732348634221125e-05,2.41085872403346e-05,1.1840388651762623e-05,9.079767551156692e-06,9.252584277419373e-06,1.592474291101098e-05,1.0191279216087423e-05
7.1842255238152575e-06,1.5463156159967184e-05,2.7826285077026114e-05,1.3521806067728903e-05,1.0304272109351587e-05,1.0605574061628431e-05,1.8218795958091505e-05,1.1547611393325496e-05
8.1322277765139e-06,1.7232001482625492e-05,3.194034070475027e-05,1.5294974218704738e-05,1.1568205991352443e-05,1.202632574859308e-05,2.0639914509956725e-05,1.2957506442035083e-05
9.131351362157147e-06,1.903319025586825e-05,3.644737080321647e-05,1.7168120393762365e-05,1.2848411643062718e-05,1.3510496501112357e-05,2.3191854779724963e-05,1.441807035007514e-05
1.0181985999224707e-05,2.0861358279944398e-05,4.132001049583778e-05,1.9147462808177806e-05,1.4130299859971274e-05,1.5055194126034621e-05,2.5871229809126817e-05,1.5925097613944672e-05
1.1285625078016892e-05,2.2712411009706557e-05,4.656294913729653e-05,2.1231422579148784e-05,1.5420351701322943e-05,1.665850868448615e-05,2.8667011065408587e-05,1.7471478713559918e-05
1.2442972547432873e-05,2.4583685444667935e-05,5.214528937358409e-05,2.3413304006680846e-05,1.6724143279134296e-05,1.8321214156458154e-05,3.159530024277046e-05,1.9048731701332144e-05
1.3652895177074242e-05,2.6473506295587867e-05,5.8003715821541846e-05,2.5681867555249482e-05,1.8045646356767975e-05,2.0047549696755596e-05,3.463526445557363e-05,2.065235639747698e-05
1.4914166968083009e-05,2.838139516825322e-05,6.410336209228262e-05,2.8025269784848206e-05,1.939119647431653e-05,2.1840172848897055e-05,3.7785994209116325e-05,2.2281708879745565e-05
1.6226906154770404e-05,3.030892003152985e-05,7.045299571473151e-05,3.0425851946347393e-05,2.0768469767062925e-05,2.3693228285992518e-05,4.105121115571819e-05,2.393707472947426e-05
1.7591910363989882e-05,3.225826003472321e-05,7.703621668042615e-05,3.286654464318417e-05,2.2185415218700655e-05,2.558997948653996e-05,4.4393353164196014e-05,2.5618359359214082e-05
1.9009905372513458e-05,3.423217640374787e-05,8.37403567857109e-05,3.53358373104129e-05,2.3645801775273867e-05,2.751958163571544e-05,4.777545836986974e-05,2.7326595954946242e-05
2.048155147349462e-05,3.6234599974704906e-05,9.051855158759281e-05,3.783201100304723e-05,2.5142091544694267e-05,2.9478411306627095e-05,5.120264904689975e-05,2.9066450224490836e-05
2.2008089217706583e-05,3.82714242732618e-05,9.749372838996351e-05,4.035877645947039e-05,2.6667672500479966e-05,3.1470008252654225e-05,5.470260657602921e-05,3.0846447771182284e-05
2.359218524361495e-05,4.034885932924226e-05,0.00010480996570549905,4.293076926842332e-05,2.8227181246620603e-05,3.3505271858302876e-05,5.8339119277661666e-05,3.2676864066161215e-05
2.5237695808755234e-05,4.247323522577062e-05,0.00011262509360676631,4.5557379053207114e-05,2.9841063224012032e-05,3.559678589226678e-05,6.217906775418669e-05,3.456690683378838e-05
2.6948542654281482e-05,4.4650550989899784e-05,0.00012111681280657649,4.8255569708999246e-05,3.153649959131144e-05,3.7756184610771015e-05,6.622684304602444e-05,3.652314262581058e-05
2.8729467885568738e-05,4.6886209020158276e-05,0.00013058069453109056,5.107111792312935e-05,3.3350250305375084e-05,3.9997012208914384e-05,7.049831765471026e-05,3.855342947645113e-05
