0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.929706834554963e-08,1.2449157793525956e-07,3.7619628301399644e-08,4.251427299095667e-08,7.687826553137711e-08,1.0888254564633826e-07,6.852673806179155e-08,6.563248433621993e-08
3.5052710245508933e-07,4.4696739109895134e-07,1.4256448821470258e-07,1.616970024542752e-07,2.866163981707359e-07,3.9398548778990516e-07,2.536592091928469e-07,2.5195660668941855e-07
7.148686336222454e-07,9.14597137580131e-07,3.059641358049703e-07,3.477551047126326e-07,6.057696282368852e-07,8.122113399622322e-07,5.312567168402893e-07,5.473433475344791e-07
1.1754042361644679e-06,1.4946248256819672e-06,5.216363092586107e-07,5.937209266448917e-07,1.017991962726228e-06,1.3366704934014706e-06,8.843643399814027e-07,9.435652827960439e-07
1.7218112589034718e-06,2.178334625568823e-06,7.850788961150101e-07,8.946923912844795e-07,1.5113063227545354e-06,1.9501728729665047e-06,1.3008012729187612e-06,1.4347665455716196e-06
2.3481986772821983e-06,2.9625789466081187e-06,1.092886236619961e-06,1.2473342394514475e-06,2.0767172372870846e-06,2.642008439579513e-06,1.772777523001423e-06,2.0161894553893944e-06
3.052923375435057e-06,3.842534169962164e-06,1.442567736376077e-06,1.6493906969117234e-06,2.7070834676123923e-06,3.405495363040245e-06,2.295723788847681e-06,2.6842046736419434e-06
3.834570179606089e-06,4.81996312373667e-06,1.8325673636354622e-06,2.099410039591021e-06,3.3965864076890284e-06,4.235939741192851e-06,2.8657032089540735e-06,3.435727421674528e-06
4.67668496639817e-06,5.905352281843079e-06,2.2620322397415293e-06,2.5964932319766376e-06,4.140278633713024e-06,5.129791588842636e-06,3.480910436337581e-06,4.267902568244608e-06
5.563743343373062e-06,7.097863090166356e-06,2.7304186005494557e-06,3.1400718398799654e-06,4.934001935907872e-06,6.083334028517129e-06,4.1405842239328194e-06,5.178244009584887e-06
6.49130015517585e-06,8.373598575417418e-06,3.237168357372866e-06,3.7296754271665122e-06,5.774146757175913e-06,7.091313364071539e-06,4.842421276407549e-06,6.1641389947908465e-06
7.466557235602522e-06,9.730184501677286e-06,3.781835175686865e-06,4.364768756204285e-06,6.6573579715623055e-06,8.147731023200322e-06,5.580477136390982e-06,7.223194643302122e-06
8.498444913129788e-06,1.118107684305869e-05,4.363228526926832e-06,5.044612862548092e-06,7.580557394248899e-06,9.248682545148768e-06,6.354230208671652e-06,8.354510100616608e-06
9.594094080966897e-06,1.2748233530146535e-05,4.981578967999667e-06,5.768548817286501e-06,8.540667295164894e-06,1.0388407645223197e-05,7.16392287358758e-06,9.554858479532413e-06
1.0757948075479362e-05,1.443593737349147e-05,5.637477897835197e-06,6.536142791446764e-06,9.534504897601437e-06,1.1560984603420366e-05,7.996953172551002e-06,1.0819620001711883e-05
1.1992698091489729e-05,1.6240819604718126e-05,6.331389613478677e-06,7.34702916815877e-06,1.055840948538389e-05,1.2765707651851699e-05,8.8463093561586e-06,1.2145321306888945e-05
1.329555016127415e-05,1.8149388779420406e-05,7.063603334245272e-06,8.201022865250707e-06,1.160856118076481e-05,1.4000143892189953e-05,9.71932149695931e-06,1.3530431715480518e-05
1.466691628593253e-05,2.0136698367423378e-05,7.83439008955611e-06,9.098124792217277e-06,1.2681492080446333e-05,1.5263794921338558e-05,1.0623647540342063e-05,1.497576704423409e-05
1.609810715308413e-05,2.2185738998814486e-05,8.643752153147943e-06,1.003851957648294e-05,1.377430817228742e-05,1.6559748473810032e-05,1.1565416571102105e-05,1.64838093041908e-05
1.757779682520777e-05,2.4301365556311794e-05,9.49138484429568e-06,1.1022474609490018e-05,1.4884122720104642e-05,1.7892089090310037e-05,1.2550121027743444e-05,1.8056192857329734e-05
1.9107259504380636e-05,2.650011629157234e-05,1.037694892147556e-05,1.2050334589730483e-05,1.600861651240848e-05,1.9267543393652886e-05,1.358106510451762e-05,1.968921787920408e-05
2.0695415514637716e-05,2.8783038942492567e-05,1.130051077780081e-05,1.3122541531629395e-05,1.7146447135019116e-05,2.0694118575192988e-05,1.466039611841552e-05,2.136933835572563e-05
2.2347796402755193e-05,3.1133902666624635e-05,1.2262679774721619e-05,1.4239722986530978e-05,1.829806569730863e-05,2.2175549020175822e-05,1.5786608855705708e-05,2.3089030946721323e-05
2.4066379410214722e-05,3.355199078214355e-05,1.3264418157632463e-05,1.5402802091557533e-05,1.9466162484604865e-05,2.3715514544164762e-05,1.6951185898506083e-05,2.484809374436736e-05
2.5859844754450023e-05,3.602911237976514e-05,1.4307152014225721e-05,1.6613101252005436e-05,2.065628723357804e-05,2.531778227421455e-05,1.814739516703412e-05,2.6651972802937962e-05
2.774021959339734e-05,3.85659332096111e-05,1.5393025023513474e-05,1.78725258592749e-05,2.1876216123928316e-05,2.698362550290767e-05,1.937881279445719e-05,2.8509830372058786e-05
2.97217757179169e-05,4.117657954338938e-05,1.652463288337458e-05,1.9183489712304436e-05,2.3134965886129066e-05,2.872132245101966e-05,2.0661444068537094e-05,3.0431194318225607e-05
3.181833017151803e-05,4.391760376165621e-05,1.7704978745314293e-05,2.05489486688748e-05,2.4443002985208295e-05,3.054759872611612e-05,2.2013133275322616e-05,3.242493767174892e-05
3.404546805541031e-05,4.6886583731975406e-05,1.8938537323265336e-05,2.197264439018909e-05,2.5812541935010813e-05,3.248676148359664e-05,2.345654138480313e-05,3.450159420026466e-05
