0,1,2,3
0.0,0.0,0.0,0.0
3.672987958225349e-08,4.986094737091662e-08,4.3532210725061304e-08,4.137982401175577e-08
1.308530244159556e-07,1.690224848971411e-07,1.5896068816800835e-07,1.5274471820703184e-07
2.63200803374275e-07,3.316999084290728e-07,3.3101937901847123e-07,3.193609643403761e-07
4.2094777086276736e-07,5.290719400363741e-07,5.509445486495679e-07,5.302968020259868e-07
5.960741873423103e-07,7.587443633383373e-07,8.132316793307837e-07,7.770080401314772e-07
7.846415428502951e-07,1.0206824754277477e-06,1.11348617792828e-06,1.053190317179542e-06
9.857116083367146e-07,1.3164592473913217e-06,1.4483415498034447e-06,1.3544081411964726e-06
1.199344296765048e-06,1.6470349919472937e-06,1.8171270994571387e-06,1.6771945183791104e-06
1.4271585087044514e-06,1.995830643863883e-06,2.2228111902222736e-06,2.018698296524235e-06
1.6712389196982258e-06,2.3459529074898455e-06,2.6697159682953497e-06,2.376723386987578e-06
1.9324504592077574e-06,2.6914885893347673e-06,3.1596925964549882e-06,2.749713758021244e-06
2.2087722300057067e-06,3.0393903216463514e-06,3.691264737426536e-06,3.1367098927148618e-06
2.5011283923959127e-06,3.3997660011664266e-06,4.263436494511552e-06,3.5368061617191415e-06
2.8106173886044417e-06,3.7801639791723574e-06,4.875866579823196e-06,3.948778157791821e-06
3.129951437585987e-06,4.182725206192117e-06,5.526928362087347e-06,4.370727765490301e-06
3.4540464639576385e-06,4.6086015572655015e-06,6.212430434970884e-06,4.799904218089068e-06
3.7863496800127905e-06,5.056442660134053e-06,6.925405159563525e-06,5.233026058704127e-06
4.1281032281403895e-06,5.52681194676552e-06,7.65635195421055e-06,5.666870947607094e-06
4.480270490603289e-06,6.016925908625126e-06,8.400872502534185e-06,6.098885478422744e-06
4.844780960411299e-06,6.522161129396409e-06,9.159385626844596e-06,6.527113782794913e-06
5.222800155024743e-06,7.0455930654134136e-06,9.927259270625655e-06,6.950453553145053e-06
5.613492703560041e-06,7.5912616921414156e-06,1.0699899576138705e-05,7.368613296421245e-06
6.012865469529061e-06,8.15996463643387e-06,1.1474790881038643e-05,7.781898602843285e-06
6.409584329958307e-06,8.75172463565832e-06,1.2252116903255228e-05,8.191273082047701e-06
6.792759450036101e-06,9.36921060201712e-06,1.3034800758759957e-05,8.598432032158598e-06
7.15843361831503e-06,1.0016205123974942e-05,1.3819740161125083e-05,9.00511076906696e-06
7.5116322477697395e-06,1.0695960554585326e-05,1.4596117580367718e-05,9.412118743057363e-06
7.8554176070611e-06,1.1407537385821342e-05,1.5357618394773453e-05,9.819289516599383e-06
8.191987944883294e-06,1.2134482858527917e-05,1.6103969755931757e-05,1.0225593541690614e-05
8.52650100569008e-06,1.2861376490036491e-05,1.6834286725497805e-05,1.0629370081005618e-05
8.865190466167405e-06,1.3579419828602113e-05,1.754581171553582e-05,1.1029489542124793e-05
9.214309102389961e-06,1.4293907952378504e-05,1.8233668015454896e-05,1.1425707270973362e-05
9.580399819242302e-06,1.5019188140286133e-05,1.8888937120209448e-05,1.1818520761153195e-05
9.96738799585728e-06,1.5765170246595517e-05,1.9509885532897897e-05,1.2208774933242239e-05
1.0375909369031433e-05,1.6531637811567634e-05,2.0089219106012024e-05,1.2596548913279548e-05
1.0804299563460518e-05,1.731130942062009e-05,2.064007094304543e-05,1.2982105545233935e-05
1.1253643606323749e-05,1.809410605346784e-05,2.117141593771521e-05,1.3365503036766313e-05
1.172545671579428e-05,1.8879105482483283e-05,2.1690584617317654e-05,1.3746517652180046e-05
1.2221175893500913e-05,1.966672425623983e-05,2.2206602807273157e-05,1.4125021152722184e-05
1.274188525712816e-05,2.045139262918383e-05,2.2730519049218856e-05,1.4501334590022452e-05
1.3280699931783602e-05,2.1213601939962246e-05,2.327042238903232e-05,1.4875761735311244e-05
1.3837622645951342e-05,2.1956313503324054e-05,2.3819755369913764e-05,1.5249187526933383e-05
1.4402848137251567e-05,2.269335527671501e-05,2.435399619571399e-05,1.5622967111994512e-05
1.4965251466492191e-05,2.3426578991347924e-05,2.4864266379154287e-05,1.5998775779735297e-05
1.5511561286984943e-05,2.4158363885362633e-05,2.5354405806865543e-05,1.6378187865484506e-05
1.6040117770899087e-05,2.4864279112080112e-05,2.583508648967836e-05,1.6761925508035347e-05
1.6546309780096635e-05,2.5529254344291985e-05,2.6315237846574746e-05,1.7149524865089916e-05
1.7021215171553195e-05,2.6158462787861936e-05,2.679786121007055e-05,1.753996912157163e-05
1.746291854942683e-05,2.6755782528198324e-05,2.7281706934445538e-05,1.7932205082615837e-05
1.787337714631576e-05,2.732265420490876e-05,2.7760133889387362e-05,1.8326036297366954e-05
1.8260117940371856e-05,2.7878606488229707e-05,2.82304117718013e-05,1.8720475054578856e-05
1.8633456420502625e-05,2.8437800210667774e-05,2.869689888029825e-05,1.911400249809958e-05
1.900107781693805e-05,2.9013503080932423e-05,2.915777986345347e-05,1.9505810996633954e-05
1.9367626009625383e-05,2.961674181278795e-05,2.9614237064379267e-05,1.989537304325495e-05
1.9741157302632928e-05,3.025336263817735e-05,3.0064178645261563e-05,2.028238850471098e-05
2.012693767028395e-05,3.0930430511943996e-05,3.0511286240653135e-05,2.0667306671384722e-05
2.0528375898720697e-05,3.164925146847963e-05,3.097030275966972e-05,2.1050864233984612e-05
2.0944993593730032e-05,3.23966596624814e-05,3.1457562727155164e-05,2.143360507034231e-05
2.1373802155721933e-05,3.316499714856036e-05,3.198776539647952e-05,2.1816402295371518e-05
2.1815963918925263e-05,3.392780854483135e-05,3.256162381148897e-05,2.2200405510375276e-05
2.2270212866715156e-05,3.4652199246920645e-05,3.3172858820762485e-05,2.258615495520644e-05
2.273388599860482e-05,3.534221104928292e-05,3.3816260838648304e-05,2.2973177692620084e-05
2.3207599952002056e-05,3.600622221711092e-05,3.448480856604874e-05,2.336047873541247e-05
2.3687885914114304e-05,3.6649125831900164e-05,3.516435026540421e-05,2.37473905144725e-05
2.4170454707928002e-05,3.727518560481258e-05,3.582656790968031e-05,2.4134236809914e-05
2.4651413696119562e-05,3.7889767554588616e-05,3.645244214567356e-05,2.4521670638932846e-05
2.5129573259619065e-05,3.8496782508445904e-05,3.703048423631117e-05,2.4910388674470596e-05
2.5603916583349928e-05,3.909639053745195e-05,3.7561108911177143e-05,2.53011858148966e-05
2.607456008263398e-05,3.969149838667363e-05,3.804110019700602e-05,2.5694935175124556e-05
2.6544501452008262e-05,4.0272858313983306e-05,3.845518222078681e-05,2.6092338885064237e-05
2.7017700631404296e-05,4.084171450813301e-05,3.8808368117315695e-05,2.6493813493289053e-05
2.7498064810060896e-05,4.1405699448660016e-05,3.911456587957218e-05,2.6899782824330032e-05
2.798491004796233e-05,4.197407542960718e-05,3.9389586163451895e-05,2.73105179076083e-05
2.8477481464506127e-05,4.2556905100354925e-05,3.965333598898724e-05,2.772574771370273e-05
2.897666854551062e-05,4.315588375902735e-05,3.9920632843859494e-05,2.814518302329816e-05
2.948659675894305e-05,4.376918150228448e-05,4.019250991404988e-05,2.8567639674292877e-05
3.0011624403414316e-05,4.439218173502013e-05,4.046022877446376e-05,2.899200262618251e-05
3.055689739994705e-05,4.501911098486744e-05,4.0727998566580936e-05,2.941769707831554e-05
3.1125786335906014e-05,4.5646316721104085e-05,4.099487705389038e-05,2.9844173695892096e-05
3.1717874662717804e-05,4.627455928130075e-05,4.126142812310718e-05,3.0271170544438064e-05
3.232948074582964e-05,4.6911452955100685e-05,4.1523486288497224e-05,3.069833110203035e-05
3.2955704227788374e-05,4.7566049033775926e-05,4.178021481493488e-05,3.112462582066655e-05
3.359072798048146e-05,4.824799543712288e-05,4.203942444291897e-05,3.154895966872573e-05
3.422956433496438e-05,4.89624471811112e-05,4.230936610838398e-05,3.1970994314178824e-05
3.487197318463586e-05,4.971091402694583e-05,4.259730485500768e-05,3.2390948035754263e-05
3.551914414856583e-05,5.0481048674555495e-05,4.290622382541187e-05,3.281012686784379e-05
3.617553738877177e-05,5.125437746755779e-05,4.323531175032258e-05,3.322897828184068e-05
3.6852383345831186e-05,5.2041061280760914e-05,4.358377191238105e-05,3.3650765544734895e-05
3.756161459023133e-05,5.2841525757685304e-05,4.395596624817699e-05,3.407926487852819e-05
3.8306407077470794e-05,5.365924153011292e-05,4.4364041968947276e-05,3.451813608990051e-05
3.904360710293986e-05,5.4496689699590206e-05,4.481980067794211e-05,3.49709480360616e-05
3.9713559090159833e-05,5.535403761314228e-05,4.531690137810074e-05,3.5442004445940256e-05
4.032222568639554e-05,5.622467870125547e-05,4.58351569250226e-05,3.593591827666387e-05
4.087903653271496e-05,5.70954434806481e-05,4.63631768070627e-05,3.6457786336541176e-05
4.138806980336085e-05,5.79662955715321e-05,4.6913468395359814e-05,3.700390880112536e-05
4.185246871202253e-05,5.883492121938616e-05,4.749830623040907e-05,3.756424121093005e-05
4.228380203130655e-05,5.9694397350540385e-05,4.8118083213921636e-05,3.8132744521135464e-05
4.269687269697897e-05,6.053146717022173e-05,4.876462844549678e-05,3.870494037983008e-05
4.310355507186614e-05,6.134732393547893e-05,4.9440914153819904e-05,3.9276928873732686e-05
4.350606832304038e-05,6.214666791493073e-05,5.012348265154287e-05,3.984339491580613e-05
4.38993374700658e-05,6.293151091085747e-05,5.0815840950235724e-05,4.039726627524942e-05
4.4271779188420624e-05,6.370494520524517e-05,5.151329969521612e-05,4.0937389712780714e-05
4.4624706788454205e-05,6.447363557526842e-05,5.222369509283453e-05,4.146622814005241e-05
4.49633298558183e-05,6.52378803351894e-05,5.295095616020262e-05,4.198332317173481e-05
4.529329453362152e-05,6.599872722290456e-05,5.3692350775236264e-05,4.2490170017117634e-05
4.561771129374392e-05,6.67585336486809e-05,5.4443338740384206e-05,4.298869680496864e-05
4.59380098618567e-05,6.751897308276966e-05,5.52088204130996e-05,4.347987851360813e-05
4.6255405322881415e-05,6.827876495663077e-05,5.598951975116506e-05,4.3964468204649165e-05
4.6568220568588004e-05,6.903958274051547e-05,5.6785851484164596e-05,4.4442702346714213e-05
4.687667023972608e-05,6.980194302741438e-05,5.759945270256139e-05,4.4914340833202004e-05
4.71873463538941e-05,7.056472531985492e-05,5.843803228344768e-05,4.5379299990599975e-05
4.750726293423213e-05,7.132670725695789e-05,5.9314937971066684e-05,4.583786358125508e-05
4.7839857870712876e-05,7.208298484329134e-05,6.022877278155647e-05,4.629075920092873e-05
4.8187135689659044e-05,7.283181912498549e-05,6.115441647125408e-05,4.6739016397623345e-05
4.855254519497976e-05,7.357050344580784e-05,6.207830301718786e-05,4.718327181763016e-05
4.8942740249913186e-05,7.429198740283027e-05,6.29845162620768e-05,4.7624118451494724e-05
4.93630395794753e-05,7.499279308831319e-05,6.385507003869861e-05,4.806278593605384e-05
4.98168301419355e-05,7.568350702058524e-05,6.467509956564754e-05,4.8500009143026546e-05
5.030375541537069e-05,7.637093222001567e-05,6.544061761815101e-05,4.893557706964202e-05
5.08226003148593e-05,7.705957250436768e-05,6.615460006287321e-05,4.936923141940497e-05
5.136193067301065e-05,7.775234553264454e-05,6.683218816760927e-05,4.980129233445041e-05
5.1902534323744476e-05,7.844517676858231e-05,6.748096348019317e-05,5.0232007197337225e-05
5.243198393145576e-05,7.913319859653711e-05,6.810767808929086e-05,5.066145968157798e-05
5.293881622492336e-05,7.981662201927975e-05,6.871044752188027e-05,5.1090013585053384e-05
