0,1,2,3
6.389644840965047e-05,9.846584725892171e-05,0.00014074512000661343,5.892501576454379e-05
6.486289203166962e-05,0.00010049674165202305,0.0001411509292665869,5.994396633468568e-05
6.581806519534439e-05,0.00010255174856865779,0.00014154832751955837,6.097645382396877e-05
6.676619523204863e-05,0.00010463060607435182,0.00014193070819601417,6.201957148732617e-05
6.771409243810922e-05,0.00010673530778149143,0.00014228142390493304,6.307208968792111e-05
6.867176125524566e-05,0.00010886701056733727,0.00014258584997151047,6.413331720978022e-05
6.96472852723673e-05,0.00011101569543825462,0.0001428537507308647,6.520259921671823e-05
7.064477540552616e-05,0.00011315829760860652,0.00014310273400042206,6.627938273595646e-05
7.166535215219483e-05,0.00011526520393090323,0.00014333461876958609,6.736398790962994e-05
7.270873175002635e-05,0.00011734266445273533,0.00014356861356645823,6.845669850008562e-05
7.377574365818873e-05,0.00011942058335989714,0.00014382907829713076,6.955722346901894e-05
7.486514368792996e-05,0.00012154022260801867,0.0001441319182049483,7.066461694194004e-05
7.598032243549824e-05,0.00012372748460620642,0.00014449041918851435,7.177740917541087e-05
7.713231752859429e-05,0.00012597694876603782,0.00014491683396045119,7.289424684131518e-05
7.833475683582947e-05,0.000128273488371633,0.00014540940173901618,7.401256880257279e-05
7.95924715930596e-05,0.00013060218770988286,0.00014592213847208768,7.512899173889309e-05
8.090137998806313e-05,0.00013294907694216818,0.00014650325465481728,7.623961573699489e-05
8.224919292842969e-05,0.00013530206342693418,0.00014717232261318713,7.734151586191729e-05
8.361911022802815e-05,0.00013766084157396108,0.00014796045434195548,7.843357161618769e-05
8.499473187839612e-05,0.00014003454998601228,0.00014887936413288116,7.951544102979824e-05
8.636579877929762e-05,0.00014243692567106336,0.00014992298383731395,8.058591629378498e-05
8.772872388362885e-05,0.0001448905240977183,0.0001510831352788955,8.164319297065958e-05
8.908638847060502e-05,0.0001474140299251303,0.00015237234765663743,8.268620877061039e-05
9.04482658370398e-05,0.0001500144717283547,0.00015376291412394494,8.371549483854324e-05
9.182428766507655e-05,0.00015268225979525596,0.000155274523422122,8.473372872686014e-05
9.322440018877387e-05,0.00015539299056399614,0.00015690956206526607,8.574304229114205e-05
9.46608925005421e-05,0.00015814042126294225,0.0001586616999702528,8.674800483277068e-05
9.614383452571929e-05,0.00016090660938061774,0.00016052303544711322,8.775237802183256e-05
9.766920265974477e-05,0.00016368999786209315,0.0001624814758542925,8.87581700226292e-05
9.917518036672845e-05,0.00016649618919473141,0.0001645233714953065,8.976775279734284e-05
0.0001005955709842965,0.00016932903963606805,0.00016663485439494252,9.078557195607573e-05
0.00010193713387707248,0.0001721861626720056,0.00016880228940863162,9.181765926769003e-05
0.00010321540321456268,0.00017506115545984358,0.00017101496632676572,9.28712761378847e-05
0.0001044359669322148,0.00017796001338865608,0.0001732878590701148,9.3940703663975e-05
0.00010559827205725014,0.00018087998614646494,0.00017564759764354676,9.50143949012272e-05
0.00010670663323253393,0.00018380521214567125,0.0001781062746886164,9.608681284589693e-05
0.00010776767885545269,0.0001867126120487228,0.00018063724564854056,9.71535118878819e-05
0.00010879022011067718,0.0001895992027129978,0.00018322054529562593,9.820987179409713e-05
0.00010977708006976172,0.00019246747251600027,0.00018583697965368629,9.924856567522511e-05
0.00011072822962887585,0.00019531845464371145,0.0001885035599116236,0.00010025854135164991
0.00011163800809299573,0.00019815642735920846,0.00019122475350741297,0.00010123621905222535
0.00011251649266341701,0.00020098987442906946,0.0001940056827152148,0.00010218155512120575
0.00011337779142195359,0.00020381469221320003,0.00019683188293129206,0.00010309065692126751
0.00011423211981309578,0.00020662503084167838,0.00019968611013609916,0.00010396257130196318
0.0001150829266407527,0.0002094180672429502,0.00020255785784684122,0.00010479816410224885
0.00011592908413149416,0.0002121894940501079,0.00020544225117191672,0.00010559859947534278
0.00011677149450406432,0.00021493529493454844,0.00020833859161939472,0.00010636630759108812
0.00011761242058128119,0.00021765795827377588,0.00021125948114786297,0.00010710469359764829
0.00011845681729028001,0.00022035777510609478,0.0002142169832950458,0.00010781813034554943
0.00011931444169022143,0.0002230314421467483,0.00021721106895711273,0.00010851195111172274
0.0001201973864226602,0.00022567740234080702,0.00022024160716682673,0.00010919218038907275
0.00012110946408938617,0.00022829583031125367,0.00022328758495859802,0.00010986442066496238
0.00012204950326122344,0.00023089733440428972,0.00022630473540630192,0.00011053376510972157
0.00012301623064558953,0.0002334849996259436,0.00022928007820155472,0.00011120355338789523
0.0001240127021446824,0.000236052306718193,0.00023220258299261332,0.00011187695054104552
0.00012504374899435788,0.00023859644716139883,0.00023503790725953877,0.00011255816207267344
0.00012611609417945147,0.00024113226390909404,0.00023774412693455815,0.00011325080413371325
0.000127235398394987,0.00024367419246118516,0.00024031114298850298,0.00011395720503060147
0.00012840557610616088,0.00024623394710943103,0.00024274860334116966,0.00011467954755062237
0.0001296185510000214,0.0002488174941390753,0.0002450939209666103,0.00011542041465872899
0.00013085571117699146,0.0002514237130526453,0.0002473836066201329,0.00011618163989624009
0.00013210350880399346,0.0002540537971071899,0.00024964837939478457,0.00011696363799273968
0.00013334775576367974,0.00025670992908999324,0.00025187977007590234,0.00011776574683608487
0.00013457619934342802,0.0002593885001260787,0.00025406875647604465,0.0001185861838166602
0.0001357822329737246,0.00026207775226794183,0.0002561984001658857,0.00011942201672354713
0.00013696670066565275,0.00026476162020117044,0.00025826209457591176,0.00012026921467622742
0.00013813878467772156,0.0002674268325790763,0.0002602623717393726,0.00012112474360037595
0.00013931281864643097,0.00027006855816580355,0.0002622024330776185,0.00012198614422231913
0.00014049914898350835,0.0002726844686549157,0.00026407057885080576,0.00012285131379030645
0.00014170641952659935,0.00027526935446076095,0.0002658539451658726,0.0001237180840689689
0.00014294109132606536,0.0002778164343908429,0.0002675518626347184,0.00012458425771910697
0.00014420940715353936,0.00028032311820425093,0.0002691866538953036,0.0001254478411283344
0.00014551778440363705,0.0002827911521308124,0.00027079530991613865,0.00012630636047106236
0.0001468690752517432,0.0002852256584446877,0.00027240774943493307,0.00012715744378510863
0.00014826080587226897,0.00028763373848050833,0.000274022517260164,0.0001279987918678671
0.00014969045878387988,0.0002900226681958884,0.00027562660397961736,0.00012882848386652768
0.0001511560840299353,0.0002923991996794939,0.00027720988146029413,0.00012964484631083906
0.0001526551495771855,0.00029476784402504563,0.0002787672565318644,0.00013044619117863476
0.00015418448310811073,0.0002971301437355578,0.00028028199449181557,0.00013123104872647673
0.00015573702694382519,0.00029948484734632075,0.0002817328495439142,0.0001319981092819944
0.00015730240556877106,0.0003018283168785274,0.0002831106830853969,0.0001327462523477152
0.00015887001063674688,0.00030415350920520723,0.00028443787596188486,0.00013347134517971426
0.0001604298740858212,0.00030645166407339275,0.00028572449809871614,0.00013417024456430227
0.0001619721733732149,0.0003087155637331307,0.00028695189394056797,0.0001348416117252782
0.00016349430370610207,0.0003109412791673094,0.00028810006915591657,0.00013548540300689638
0.00016499729827046394,0.00031312915962189436,0.0002891642216127366,0.00013610182213597
0.00016648275777697563,0.00031528115505352616,0.0002901539846789092,0.0001366909418720752
0.00016795203555375338,0.00031739985570311546,0.0002911127812694758,0.0001372533879475668
0.00016940574278123677,0.0003194865130353719,0.00029208548949100077,0.0001377897133352235
0.00017084383580368012,0.0003215475589968264,0.0002931033377535641,0.00013830038369633257
0.00017226481577381492,0.00032358779571950436,0.00029413943411782384,0.00013878683967050165
0.00017366692190989852,0.0003256124909967184,0.00029518239898607135,0.00013925049279350787
0.00017505163850728422,0.00032762534101493657,0.0002962255384773016,0.00013969257997814566
0.00017642183229327202,0.0003296320792287588,0.0002972671063616872,0.0001401148474542424
0.0001777800644049421,0.00033163942862302065,0.0002983001177199185,0.0001405189250363037
0.0001791265094652772,0.0003336525405757129,0.00029931447352282703,0.00014090698095969856
0.00018046065815724432,0.0003356759261805564,0.0003003112506121397,0.00014128167822491378
0.00018178301979787648,0.0003377156099304557,0.0003012856759596616,0.00014164650929160416
0.00018309763981960714,0.00033977595739997923,0.0003022348682861775,0.00014200537407305092
0.0001844098442234099,0.0003418633423279971,0.00030318970675580204,0.0001423625653842464
0.00018572318367660046,0.0003439835854806006,0.00030417984817177057,0.0001427226816304028
0.00018703946261666715,0.00034614160540513694,0.00030522345332428813,0.00014308995741885155
0.00018835891387425363,0.00034834284451790154,0.000306332774925977,0.00014346821990329772
0.00018967781215906143,0.00035059358924627304,0.00030751756276004016,0.00014386112161446363
0.00019099217024631798,0.00035290076630190015,0.00030879222322255373,0.0001442718057660386
0.00019229782628826797,0.0003552690031938255,0.00031017622677609324,0.00014470264432020485
0.000193593034055084,0.00035770118120126426,0.00031168857822194695,0.00014515554357785732
0.00019487959798425436,0.0003601981152314693,0.0003133418213110417,0.00014563171134795994
0.0001961630186997354,0.000362756778486073,0.00031514244619756937,0.00014613168605137616
0.00019744886958505958,0.00036537135019898415,0.0003170912095811218,0.00014665610797237605
0.00019873927521985024,0.0003680328081827611,0.00031917745945975184,0.00014720567560289055
0.00020003328972961754,0.0003707296564243734,0.0003213825111743063,0.0001477812766097486
0.00020132568897679448,0.0003734527563210577,0.0003236923075746745,0.00014838344941381365
0.00020260772726032883,0.0003761941916309297,0.00032609375193715096,0.0001490123977418989
0.0002038687380263582,0.0003789483744185418,0.00032857467886060476,0.00014966796152293682
0.00020509953901637346,0.00038171070627868176,0.0003311191394459456,0.0001503489911556244
0.0002062956482404843,0.0003844774910248816,0.0003337152593303472,0.00015105344937182963
0.00020745508663821965,0.0003872433153446764,0.00033635730505920947,0.00015178137982729822
0.00020857893105130643,0.0003900008159689605,0.0003390469355508685,0.00015253244782797992
0.0002096699899993837,0.00039274326991289854,0.0003417707630433142,0.00015330465976148844
0.00021073133393656462,0.00039546459447592497,0.0003445020702201873,0.00015409504703711718
0.00021176665904931724,0.0003981598129030317,0.00034719210816547275,0.0001549025473650545
0.00021278161148075014,0.0004008236574009061,0.0003498073201626539,0.0001557252835482359
0.00021378239034675062,0.00040345199522562325,0.00035233134985901415,0.00015656162577215582
0.00021477474365383387,0.0004060397914145142,0.0003547582309693098,0.00015741042443551123
0.0002157642738893628,0.0004085843393113464,0.0003570981789380312,0.00015827009337954223
0.00021675473544746637,0.0004110840964131057,0.00035936679341830313,0.00015913812967482954
0.00021774570632260293,0.00041353763663209975,0.0003615723398979753,0.00016001278709154576
0.0002187352947657928,0.00041594324284233153,0.00036371685564517975,0.00016089317796286196
0.00021972191461827606,0.0004182998964097351,0.00036580374580807984,0.000161778210895136
0.00022070501290727407,0.00042060675332322717,0.0003678350185509771,0.00016266781312879175
0.00022168541909195483,0.00042286390089429915,0.0003698136133607477,0.00016356138803530484
0.00022266573796514422,0.00042507098987698555,0.0003717428189702332,0.00016445867368020117
0.00022365122276823968,0.00042722976650111377,0.0003736064536496997,0.0001653595973039046
0.00022464747598860413,0.00042934317025355995,0.0003753768396563828,0.00016626401338726282
0.0002256582083646208,0.0004314147518016398,0.0003770381154026836,0.00016717180551495403
0.00022668330348096788,0.0004334454715717584,0.00037857951247133315,0.00016808287182357162
0.00022772036027163267,0.00043543835636228323,0.00037998054176568985,0.0001689974160399288
0.00022876741422805935,0.0004374017007648945,0.0003812090144492686,0.0001699153071967885
0.000229822559049353,0.00043933946290053427,0.0003822476137429476,0.0001708365452941507
0.00023088515445124358,0.0004412514390423894,0.00038312090327963233,0.00017176163964904845
0.00023195493849925697,0.000443135155364871,0.000383842212613672,0.00017269124509766698
0.00023303077614400536,0.0004449865664355457,0.0003844091552309692,0.00017362527432851493
0.0002341128420084715,0.00044680098653770983,0.0003848231863230467,0.00017456371278967708
0.000235200030147098,0.000448573031462729,0.00038509676232934,0.00017550656048115343
0.00023628950293641537,0.0004502973170019686,0.00038525572745129466,0.0001764532644301653
0.00023737807350698858,0.0004519690410234034,0.00038533518090844154,0.00017740381008479744
0.00023846307885833085,0.00045358407078310847,0.0003853709204122424,0.00017835956532508135
0.00023954235075507313,0.0004551394667942077,0.0003853954840451479,0.000179321548785083
0.0002406143757980317,0.0004566340649034828,0.0003854299720842391,0.00018029082275461406
0.00024167697119992226,0.00045806579873897135,0.0003854772949125618,0.00018126863869838417
0.00024272750306408852,0.0004594344354700297,0.0003855339891742915,0.0001822564227040857
0.00024376278452109545,0.000460741895949468,0.00038559845415875316,0.0001832553680287674
0.00024478056002408266,0.000461990712210536,0.0003856816911138594,0.00018426594033371657
0.00024578068405389786,0.0004631846386473626,0.00038578876410610974,0.0001852885470725596
0.0002467624726705253,0.0004643271677196026,0.00038592302007600665,0.00018632219871506095
0.0002477251400705427,0.00046542080235667527,0.00038607840542681515,0.00018736578931566328
0.0002486684243194759,0.00046646504779346287,0.000386237254133448,0.00018841898418031633
0.0002495922090020031,0.00046746127190999687,0.0003863733436446637,0.00018948197248391807
0.00025049649411812425,0.0004684118030127138,0.0003864560858346522,0.00019055500160902739
