0,1,2,3
0.0,0.0,0.0,0.0
3.690572825121308e-08,5.025312432849205e-08,4.41863790001662e-08,3.9545728469647656e-08
1.3125806219704828e-07,1.6946437142451032e-07,1.5960563359840307e-07,1.4575223872270726e-07
2.633751705616305e-07,3.296556485565816e-07,3.2876698696782114e-07,3.0436441988968e-07
4.198333556360012e-07,5.19102570706309e-07,5.416775366029469e-07,5.049495825915074e-07
5.919087016081903e-07,7.328411015805614e-07,7.921053111203946e-07,7.394270369331934e-07
7.748326993350929e-07,9.698158009996405e-07,1.0753522019513184e-06,1.0018154625868192e-06
9.66842208072194e-07,1.2322740303716273e-06,1.3882189477953943e-06,1.2878141433247947e-06
1.1674098914227216e-06,1.5228333722916432e-06,1.7301337038588827e-06,1.594011450833932e-06
1.3777897720501642e-06,1.8271686030857381e-06,2.1035434656369034e-06,1.9176020487066125e-06
1.6000489040379762e-06,2.1318846847862005e-06,2.5120025384239852e-06,2.2564929622603813e-06
1.8354817257204559e-06,2.433878535157419e-06,2.957749302368029e-06,2.609281182230916e-06
2.082582568618818e-06,2.7403443709772546e-06,3.4411011711199535e-06,2.975183861053665e-06
2.3425081963068806e-06,3.060185235881363e-06,3.963007202401059e-06,3.3534633985254914e-06
2.61668833445583e-06,3.4009990486083552e-06,4.524475116340909e-06,3.7430415886774426e-06
2.898651700888877e-06,3.7672489270335063e-06,5.124771178088849e-06,4.142140369367553e-06
3.1842814678384457e-06,4.161490323895123e-06,5.759732175647514e-06,4.548113793134689e-06
3.4782262900989735e-06,4.580087079375517e-06,6.4212404140562285e-06,4.957782039127778e-06
3.7829142911505187e-06,5.019858235755237e-06,7.098706646502251e-06,5.368155598262092e-06
4.100360001757508e-06,5.474220870382851e-06,7.787752110743895e-06,5.777032129117288e-06
4.4329922275210265e-06,5.937175956205465e-06,8.489298124914058e-06,6.182848665048368e-06
4.7820594772929326e-06,6.412960829038639e-06,9.19895956030814e-06,6.584749826288316e-06
5.146500370756257e-06,6.906976977916202e-06,9.913263056660071e-06,6.982608283578884e-06
5.522093488252722e-06,7.422251201205654e-06,1.0631733857735526e-05,7.3768010224739555e-06
5.897369192098267e-06,7.962277777551208e-06,1.135589354817057e-05,7.768331670376938e-06
6.2614121816295665e-06,8.53212895890465e-06,1.2089623851352371e-05,8.158859600371215e-06
6.610249329241924e-06,9.135221262113191e-06,1.2830416380893439e-05,8.549996891815681e-06
